2.0114 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
10.6015 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
12.3675 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025F13D2DD30>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000025F16CDCD90>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.3677 	EXP 	window1: mouseVisible = True
12.3678 	EXP 	window1: mouseVisible = False
12.3678 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
12.3678 	EXP 	window1: recordFrameIntervals = False
12.5344 	EXP 	window1: recordFrameIntervals = True
12.7178 	EXP 	Screen (0) actual frame rate measured at 60.07Hz
12.7179 	EXP 	window1: recordFrameIntervals = False
14.9952 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
15.0126 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, interpolate=True, mask='circle', maskParams=None, name='grating', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([5., 5.]), size=array([0.1, 0.1]), tex='sin', texRes=128.0, units='height', win=Window(...))
15.0179 	EXP 	Imported C:/Users/Kinnari Kamani/Desktop/Conditions.xlsx as conditions, 1 conditions, 5 params
15.2988 	EXP 	window1: recordFrameIntervals = False
15.3021 	EXP 	window1: recordFrameIntervals = False
16.2999 	EXP 	fixation: autoDraw = True
17.0751 	EXP 	grating: autoDraw = True
17.0751 	EXP 	grating: tex = 'sin'
17.3130 	EXP 	fixation: autoDraw = False
17.3795 	EXP 	grating: autoDraw = False
17.4660 	EXP 	window1: recordFrameIntervals = False
17.4673 	DATA 	Keypress: left
17.4794 	EXP 	fixation: autoDraw = False
17.4794 	EXP 	grating: autoDraw = False
17.4797 	EXP 	window1: recordFrameIntervals = False
18.4567 	EXP 	fixation: autoDraw = True
19.4609 	EXP 	fixation: autoDraw = False
19.4778 	EXP 	grating: autoDraw = True
19.4778 	EXP 	grating: tex = 'sin'
19.7773 	EXP 	grating: autoDraw = False
19.8299 	EXP 	window1: recordFrameIntervals = False
19.8312 	DATA 	Keypress: right
19.8439 	EXP 	fixation: autoDraw = False
