trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,54.75324130000081,55.7134498000014,55.76607589999912,up,1,0.5157438999995065,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
1,0,1,0,56.26006380000035,57.26460479999878,57.26460479999878,up,1,0.6180471999978181,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
2,0,2,0,57.91386849999981,58.91312990000006,58.91312990000006,up,1,0.4935330000007525,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
3,0,3,0,59.428955999999744,60.42835159999959,60.42835159999959,down,1,0.5280988999984402,2,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
4,0,4,0,60.97758780000004,61.97685529999944,61.97685529999944,up,1,0.7848967999998422,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
5,0,5,0,62.792870699999185,63.791960200000176,63.80856750000021,up,1,0.6170709999969404,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
6,0,6,0,64.44136259999868,65.44043539999984,65.45704579999801,down,1,0.5134786999988137,2,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
7,0,7,0,65.97300489999907,66.97205300000132,66.97205300000132,up,1,0.45721209999828716,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
8,0,8,0,67.45487940000021,68.45426139999836,68.45426139999836,up,1,0.6349732999988191,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
9,0,9,0,69.1200960999995,70.11946619999799,70.11946619999799,down,1,0.7533477999968454,3,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
10,0,10,0,70.90190760000041,71.90114900000117,71.90114900000117,up,1,0.5744252999975288,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
11,0,11,0,72.50019419999808,73.49966760000098,73.49966760000098,up,1,0.6113669999976992,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
12,0,12,0,74.13225650000095,75.13146749999942,75.13146749999942,down,1,0.6888496999963536,2,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
13,0,13,0,75.84723509999822,76.84651680000024,76.84651680000024,up,1,0.6008424999999988,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
14,0,14,0,77.47916799999803,78.47813540000061,78.47813540000061,down,1,0.8778151000005892,2,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
15,0,15,0,79.37714459999916,80.37634130000151,80.39295539999875,up,0,0.7793596999981673,1,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
16,0,16,0,81.1753624999983,82.17473279999831,82.17473279999831,down,1,0.8396215999964625,-5,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
17,0,17,0,83.0405400999989,84.03967850000117,84.03967850000117,up,1,0.7574071999988519,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
18,0,18,0,84.82224950000091,85.8213164000008,85.83795720000126,up,0,1.2727788999982295,2,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
19,0,19,0,87.12015629999951,88.1193056000011,88.1193056000011,down,1,0.6862014999969688,4,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
20,0,20,0,88.83491470000081,89.83436240000083,89.83436240000083,up,1,0.6398515999972005,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
21,0,21,0,90.50011040000027,91.49966080000013,91.49966080000013,up,1,0.6058071999977983,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
22,0,22,0,92.13200209999923,93.13117720000082,93.13117720000082,up,1,0.8525438999968173,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
23,0,23,0,94.01392040000064,95.01282160000119,95.01282160000119,down,1,0.679450599996926,3,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
24,0,24,0,95.71225599999889,96.71135190000132,96.72806529999798,up,1,0.7149963999981992,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
25,0,25,0,97.44396609999967,98.44319170000017,98.45976810000138,down,1,1.2829195999984222,-3,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
26,0,26,0,99.7582442999992,100.75750120000157,100.75750120000157,up,1,0.602259100000083,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
27,0,27,0,101.39013329999943,102.38960550000047,102.38960550000047,down,1,0.7147972999955527,4,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
28,0,28,0,103.12186949999887,104.12107269999979,104.12107269999979,down,1,1.4664419000000635,3,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
29,0,29,0,105.61994950000008,106.61871579999934,106.63557159999982,up,1,0.43458449999889126,0,1,001,2022-09-14_23h13.57.369,T2,2022.2.2,60.05291863286075,
