trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5,104.50239829999919,104.50239829999919,0.17593869999109302,[0.058333333333333334],[-0.36666666666666664],[1],[0],[0],[2.231489599987981],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
1,0,1,0,5,106.66331030000583,106.66331030000583,0.02537329999904614,[0.4861111111111111],[-0.11574074074074074],[1],[0],[0],[1.9984011000051396],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
2,0,2,0,10,108.69407949999731,108.69407949999731,0.025824600001215003,[-0.2361111111111111],[-0.23703703703703705],[1],[0],[0],[1.752936700009741],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
3,0,3,0,10,110.47648490000574,110.47648490000574,0.02607650001300499,[-0.48055555555555557],[0.34444444444444444],[1],[0],[0],[2.468833999999333],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
4,0,4,0,10,112.97298639999644,112.97298639999644,0.026427700009662658,[0.18333333333333332],[-0.44166666666666665],[1],[0],[0],[2.168789099989226],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
5,0,5,0,10,115.17003819999809,115.17003819999809,0.025954400000046007,[-0.14814814814814814],[0.21203703703703702],[1],[0],[0],[1.6530670000065584],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
6,0,6,0,5,116.83649420000438,116.83649420000438,0.014233299996703863,[-0.20555555555555555],[0.04814814814814815],[1],[0],[0],[1.8981160999974236],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
7,0,7,0,5,118.75138210000296,118.75138210000296,0.013635399998747744,[0.33796296296296297],[0.4537037037037037],[1],[0],[0],[1.9988412999955472],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
8,0,8,0,10,120.78304110000317,120.78304110000317,0.02608670000336133,[0.2388888888888889],[-0.29259259259259257],[1],[0],[0],[2.2021301000058884],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
9,0,9,0,10,123.01892950000183,123.01892950000183,0.029954300000099465,[0.3490740740740741],[0.08981481481481482],[1],[0],[0],[1.9151503000030061],['target'],1,001,2022-09-16_12h52.12.041,T3,2022.2.2,59.949953781356825,
