pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,51.88269610001589,52.64796970001771,52.64796970001771,52.64796970001771,52.64796970001771,52.89795780001441,53.647139100008644,53.647139100008644,x,1,1.1074453000037465,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
150,v,0,1,1,1,,,,,54.79479879999417,55.795223299995996,55.795223299995996,55.795223299995996,55.795223299995996,55.795223299995996,56.79426590001094,56.79426590001094,v,1,0.9371580999868456,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
50,c,0,2,2,2,,,,,57.759796300000744,58.75892960000783,58.75892960000783,58.75892960000783,58.75892960000783,58.75892960000783,59.758264900010545,59.758264900010545,c,1,0.7900940999970771,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-150,z,0,3,3,3,,,,,60.57433890001266,61.57337630001712,61.57337630001712,61.57337630001712,61.57337630001712,61.57337630001712,62.572256200015545,62.572256200015545,z,1,0.48804500000551343,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-50,x,1,0,4,0,,,,,63.088598000002094,64.08746619999874,64.08746619999874,64.08746619999874,64.08746619999874,64.1042662000109,65.08672260001185,65.08672260001185,x,1,0.7914281999983359,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
150,v,1,1,5,1,,,,,65.9024356000009,66.90161010000156,66.90161010000156,66.90161010000156,66.90161010000156,66.90161010000156,67.90033619999303,67.90033619999303,v,1,0.3514024000032805,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
50,c,1,2,6,2,,,,,68.28368809999665,69.28283660000307,69.28283660000307,69.28283660000307,69.28283660000307,69.28283660000307,70.28186069999356,70.28186069999356,c,1,0.4735103999846615,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-150,z,1,3,7,3,,,,,70.7813407999929,71.78050620001159,71.78050620001159,71.78050620001159,71.78050620001159,71.78050620001159,72.77952599999844,72.77952599999844,z,1,0.31509920000098646,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-50,x,2,0,8,0,,,,,73.11243480001576,74.11158980001346,74.11158980001346,74.11158980001346,74.11158980001346,74.11158980001346,75.11053060000995,75.11053060000995,x,1,0.7999578999879304,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
150,v,2,1,9,1,,,,,75.9433617000177,76.94230059999973,76.94230059999973,76.94230059999973,76.94230059999973,76.95886680000694,77.94124750001356,77.94124750001356,v,1,0.704871699999785,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
50,c,2,2,10,2,,,,,78.67415920001804,79.6731856999977,79.6731856999977,79.6731856999977,79.6731856999977,79.68989440001315,80.67219310000655,80.67219310000655,c,1,0.9006766999955289,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-150,z,2,3,11,3,,,,,81.60466660000384,82.6037353000138,82.6037353000138,82.6037353000138,82.6037353000138,82.6037353000138,83.60281260000193,83.60281260000193,z,1,0.34946910000871867,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-50,x,3,0,12,0,,,,,83.96906679999665,84.96796969999559,84.96796969999559,84.96796969999559,84.96796969999559,84.96796969999559,85.96730990000651,85.96730990000651,x,1,1.1221461000095587,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
150,v,3,1,13,1,,,,,87.11634579999372,88.11537549999775,88.11537549999775,88.11537549999775,88.11537549999775,88.13166959999944,89.11439629999222,89.11439629999222,v,1,0.7061317000188865,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
50,c,3,2,14,2,,,,,89.84705840001698,90.84596900001634,90.84596900001634,90.84596900001634,90.84596900001634,90.84596900001634,91.84507870001835,91.84507870001835,c,1,0.7255744000140112,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-150,z,3,3,15,3,,,,,92.59459419999621,93.59366469999077,93.59366469999077,93.59366469999077,93.59366469999077,93.6101142000116,94.59234339999966,94.59234339999966,z,1,0.6111856999923475,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-50,x,4,0,16,0,,,,,95.22532110000611,96.22436580000794,96.22436580000794,96.22436580000794,96.22436580000794,96.22436580000794,97.22354890001589,97.22354890001589,x,1,0.7203368000045884,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
150,v,4,1,17,1,,,,,97.97295500000473,98.97189230000367,98.97189230000367,98.97189230000367,98.97189230000367,98.97189230000367,99.9710167000012,99.9710167000012,v,1,0.5718696000112686,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
50,c,4,2,18,2,,,,,100.57003090000944,101.56920920000994,101.56920920000994,101.56920920000994,101.56920920000994,101.56920920000994,102.56850490000215,102.56850490000215,c,1,0.6537302999931853,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-150,z,4,3,19,3,,,,,103.25147670001024,104.25010229999316,104.25010229999316,104.25010229999316,104.25010229999316,104.26695670001209,105.24942920001922,105.24942920001922,z,1,0.5314536000078078,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-50,x,5,0,20,0,,,,,105.79902810000931,106.79766260000179,106.79766260000179,106.79766260000179,106.79766260000179,106.79766260000179,107.79666069999803,107.79666069999803,x,1,0.5535243000194896,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
150,v,5,1,21,1,,,,,108.38021689999732,109.37914530001581,109.37914530001581,109.37914530001581,109.37914530001581,109.39550539999618,110.37782170000719,110.37782170000719,v,1,0.36344060002011247,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
50,c,5,2,22,2,,,,,110.76113540001097,111.76017190000857,111.76017190000857,111.76017190000857,111.76017190000857,111.7762527000159,112.7589020000014,112.7589020000014,c,1,0.3015780999849085,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-150,z,5,3,23,3,,,,,113.092154700018,114.09129790001316,114.09129790001316,114.09129790001316,114.09129790001316,114.10778890000074,115.09013670001877,115.09013670001877,z,1,0.30473229999188334,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-50,x,6,0,24,0,,,,,115.42323350001243,116.42236210001283,116.42236210001283,116.42236210001283,116.42236210001283,116.43871529999888,117.42140870000003,117.42140870000003,x,1,0.26965269999345765,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
150,v,6,1,25,1,,,,,117.72119410001324,118.71985429999768,118.71985429999768,118.71985429999768,118.71985429999768,118.73650260001887,119.7192284000048,119.7192284000048,v,1,0.25496710001607426,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
50,c,6,2,26,2,,,,,120.00203580001835,121.00099970001611,121.00099970001611,121.00099970001611,121.00099970001611,121.00099970001611,122.00052560001495,122.00052560001495,c,1,0.6381797000067309,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-150,z,6,3,27,3,,,,,122.66640529999859,123.6655437000154,123.6655437000154,123.6655437000154,123.6655437000154,123.6655437000154,124.66428339999402,124.66428339999402,z,1,0.44275579997338355,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-50,x,7,0,28,0,,,,,125.1311388000031,126.12979390000692,126.12979390000692,126.12979390000692,126.12979390000692,126.14629930001684,127.1291629000043,127.1291629000043,x,1,0.4901495999947656,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
150,v,7,1,29,1,,,,,127.6451778000046,128.6442089000193,128.6442089000193,128.6442089000193,128.6442089000193,128.6442089000193,129.6433181000175,129.6433181000175,v,1,0.3957016999775078,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
50,c,7,2,30,2,,,,,130.0594243000087,131.05897000001278,131.05897000001278,131.05897000001278,131.05897000001278,131.05897000001278,132.0579357999959,132.0579357999959,c,1,0.8376878999988548,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-150,z,7,3,31,3,,,,,132.92341220000526,133.92253720000735,133.92253720000735,133.92253720000735,133.92253720000735,133.92253720000735,134.92149760000757,134.92149760000757,z,1,0.2636108000006061,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-50,x,8,0,32,0,,,,,135.2045000999933,136.20369620001293,136.20369620001293,136.20369620001293,136.20369620001293,136.20369620001293,137.20285420000437,137.20285420000437,x,1,0.4814808999944944,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
150,v,8,1,33,1,,,,,137.70272820000537,138.70173970001633,138.70173970001633,138.70173970001633,138.70173970001633,138.70173970001633,139.70043329999316,139.70043329999316,v,1,0.39899859999422915,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
50,c,8,2,34,2,,,,,140.11711819999618,141.1162359000009,141.1162359000009,141.1162359000009,141.1162359000009,141.1162359000009,142.1148824999982,142.1148824999982,c,1,0.7503791999770328,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-150,z,8,3,35,3,,,,,142.8974608000135,143.89687950001098,143.89687950001098,143.89687950001098,143.89687950001098,143.89687950001098,144.89583260001382,144.89583260001382,z,1,0.5297492999816313,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-50,x,9,0,36,0,,,,,145.4455569999991,146.4445110000088,146.4445110000088,146.4445110000088,146.4445110000088,146.4445110000088,147.44365210001706,147.44365210001706,x,1,0.4679195999924559,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
150,v,9,1,37,1,,,,,147.9432991000067,148.94229179999093,148.94229179999093,148.94229179999093,148.94229179999093,148.95884680000017,149.94095950000337,149.94095950000337,v,1,0.44947180000599474,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
50,c,9,2,38,2,,,,,150.40774280001642,151.4066970999993,151.4066970999993,151.4066970999993,151.4066970999993,151.42319980001776,152.40560970001388,152.40560970001388,c,1,0.4253086999815423,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-150,z,9,3,39,3,,,,,152.8552813999995,153.85441279999213,153.85441279999213,153.85441279999213,153.85441279999213,153.85441279999213,154.8531440999941,154.8531440999941,z,1,0.4439859999984037,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
-50,x,10,0,40,0,,,,,155.3195396999945,156.31858340001781,156.31858340001781,156.31858340001781,156.31858340001781,156.33488589999615,157.317715400015,157.317715400015,x,1,0.48952090000966564,testrun4,001,2022-09-30_10h58.43.546,T4,2022.2.2,60.052774377987404,
