study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
vase,,0,0,0,0,,,,,89.10581249999814,89.10581249999814,1.9925925925925927,3.898650600007386,,,,,,,,,,,,,1,001,2022-10-14_11h48.51.911,T5,2022.2.2,59.912276448169706,
cushion,,0,1,1,3,,,,,92.99250649999885,92.99250649999885,1.9925925925925927,1.6122122000087984,,,,,,,,,,,,,1,001,2022-10-14_11h48.51.911,T5,2022.2.2,59.912276448169706,
tiger,,0,2,2,1,,,,,94.61408569999912,94.61408569999912,2.0,2.9192628000018885,,,,,,,,,,,,,1,001,2022-10-14_11h48.51.911,T5,2022.2.2,59.912276448169706,
piano,,0,3,3,4,,,,,97.55987280000409,97.55987280000409,2.0,2.307783099997323,,,,,,,,,,,,,1,001,2022-10-14_11h48.51.911,T5,2022.2.2,59.912276448169706,
book,,0,4,4,2,,,,,99.88664260000223,99.88664260000223,2.0,1.0095159000047715,,,,,,,,,,,,,1,001,2022-10-14_11h48.51.911,T5,2022.2.2,59.912276448169706,
,t_g_r,,,,,0,0,0,1,,,,,100.92300009999599,100.92300009999599,100.92300009999599,0.016549200008739717,tiger,[0.023148148148148147],[-0.2953703703703704],[1],[0],[0],[4.480410600008327],['text_3'],1,001,2022-10-14_11h48.51.911,T5,2022.2.2,59.912276448169706,
,o_a_n_e,,,,,0,1,1,9,,,,,105.41129089999595,105.41129089999595,105.41129089999595,0.004337099991971627,orange,[0.023148148148148147],[-0.2953703703703704],[1],[0],[0],[3.056552499998361],['text_3'],1,001,2022-10-14_11h48.51.911,T5,2022.2.2,59.912276448169706,
,_ea_o_,,,,,0,2,2,5,,,,,108.47606420000375,108.47606420000375,108.47606420000375,0.005105600008391775,beacon,[0.023148148148148147],[-0.2953703703703704],[1],[0],[0],[8.985583300003782],['text_3'],1,001,2022-10-14_11h48.51.911,T5,2022.2.2,59.912276448169706,
,c_m_r_,,,,,0,3,3,6,,,,,117.47227620000194,117.47227620000194,117.47227620000194,0.008244999989983626,camera,[0.023148148148148147],[-0.2953703703703704],[1],[0],[0],[2.736039299998083],['text_3'],1,001,2022-10-14_11h48.51.911,T5,2022.2.2,59.912276448169706,
,_i_n_,,,,,0,4,4,4,,,,,120.22208000000683,120.22208000000683,120.22208000000683,0.009594599992851727,piano,[0.023148148148148147],[-0.2953703703703704],[1],[0],[0],[4.0837936000025366],['text_3'],1,001,2022-10-14_11h48.51.911,T5,2022.2.2,59.912276448169706,
,c_s_i_n,,,,,0,5,5,3,,,,,124.31036499999755,124.31036499999755,124.31036499999755,0.004545700008748099,cushion,[0.023148148148148147],[-0.2953703703703704],[1],[0],[0],[3.5073119000007864],['text_3'],1,001,2022-10-14_11h48.51.911,T5,2022.2.2,59.912276448169706,
,_o_s_,,,,,0,6,6,8,,,,,127.82397949999722,127.82397949999722,127.82397949999722,0.0045744000090053305,house,[0.023148148148148147],[-0.2953703703703704],[1],[0],[0],[3.075100600006408],['text_3'],1,001,2022-10-14_11h48.51.911,T5,2022.2.2,59.912276448169706,
,_a_e,,,,,0,7,7,0,,,,,130.9089679000026,130.9089679000026,130.9089679000026,0.00492859999940265,vase,[0.023148148148148147],[-0.2953703703703704],[1],[0],[0],[3.3272916999994777],['text_3'],1,001,2022-10-14_11h48.51.911,T5,2022.2.2,59.912276448169706,
,_oo_,,,,,0,8,8,2,,,,,134.24041620000207,134.24041620000207,134.24041620000207,0.004182399992714636,book,[0.023148148148148147],[-0.2953703703703704],[1],[0],[0],[3.301883899999666],['text_3'],1,001,2022-10-14_11h48.51.911,T5,2022.2.2,59.912276448169706,
,_p_a_d_,,,,,0,9,9,7,,,,,137.55303480000293,137.55303480000293,137.55303480000293,0.011030000008759089,,[],[],[],[],[],[],[],1,001,2022-10-14_11h48.51.911,T5,2022.2.2,59.912276448169706,
