reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,deal.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
40,55,62,0,0,0,3,89.17322540000896,89.33734830000321,89.33734830000321,90.18626350001432,l,7.952694700012216,1,001,2022-10-21_11h24.56.388,T6,2022.2.2,60.1709335938346,
67,75,119,0,1,1,5,97.34949660001439,98.32855909998761,98.32855909998761,98.36205190001056,t,7.116851300001144,1,001,2022-10-21_11h24.56.388,T6,2022.2.2,60.1709335938346,
11,30,7,0,2,2,0,105.4726190000074,106.47104060000856,106.47104060000856,106.48787720000837,l,6.515400900010718,1,001,2022-10-21_11h24.56.388,T6,2022.2.2,60.1709335938346,
49,60,89,0,3,3,4,113.0199954000127,114.01418150000973,114.01418150000973,114.0308895999915,l,5.355961099994602,1,001,2022-10-21_11h24.56.388,T6,2022.2.2,60.1709335938346,
15,35,13,0,4,4,1,119.39245760001359,120.39143220000551,120.39143220000551,120.39143220000551,l,2.8859863000107,1,001,2022-10-21_11h24.56.388,T6,2022.2.2,60.1709335938346,
89,92,165,0,5,5,7,123.30541239999002,124.30457050001132,124.30457050001132,124.30457050001132,t,5.4570501999987755,1,001,2022-10-21_11h24.56.388,T6,2022.2.2,60.1709335938346,
95,105,180,0,6,6,8,129.78381260001333,130.78195949998917,130.78195949998917,130.79863569998997,t,9.609489700000267,1,001,2022-10-21_11h24.56.388,T6,2022.2.2,60.1709335938346,
27,50,21,0,7,7,2,140.4248060999962,141.42207080000662,141.42207080000662,141.43844259998878,l,2.755786800000351,1,001,2022-10-21_11h24.56.388,T6,2022.2.2,60.1709335938346,
78,80,162,0,8,8,6,144.20324750000145,145.20196999999462,145.20196999999462,145.2184067000053,t,7.713528000022052,1,001,2022-10-21_11h24.56.388,T6,2022.2.2,60.1709335938346,
103,110,200,0,9,9,9,152.94560209999327,153.94389279998722,153.94389279998722,153.96045119999326,l,10.834925800008932,1,001,2022-10-21_11h24.56.388,T6,2022.2.2,60.1709335938346,
