delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,polygon.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,sound_1.started,sound_1.stopped,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate
0.4,1000,exp,0,0,0,10,251.3867172,252.2418654,252.2418654,252.3917889,space,1.8526769,254.5725664,254.8797498,254.8797498,254.8797498,254.8797498,350,1,[5.341000700020231],[5.341013199998997],1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
0.1,1000,exp,0,1,1,9,260.2080965,261.2165991,261.2165991,261.2165991,space,1.7448324,263.0814482,,263.3826106,263.3826106,263.3826106,350,2,"[5.341000700020231, 4.428008000017144]","[5.341013199998997, 4.428014400007669]",1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
0.4,400,unexp,0,2,2,1,267.8105982,268.8093919,268.8093919,268.8260695,space,2.152677,271.3904927,271.6965881,271.6965881,271.6965881,271.6965881,300,3,"[5.341000700020231, 4.428008000017144, 11.87045049999142]","[5.341013199998997, 4.428014400007669, 11.870459099998698]",1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
0.4,1000,exp,0,3,3,7,283.5623749,284.5616868,284.5616868,284.5616868,space,1.2396392,286.226704,,286.528774,286.528774,286.528774,200,4,"[5.341000700020231, 4.428008000017144, 11.87045049999142, 4.660540500015486]","[5.341013199998997, 4.428014400007669, 11.870459099998698, 4.66054750001058]",1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
0.1,400,unexp,0,4,4,0,291.1886401,292.1879487,292.1879487,292.1879487,space,0.8960837,293.2033674,,293.5034239,293.5034239,293.5034239,400,5,"[5.341000700020231, 4.428008000017144, 11.87045049999142, 4.660540500015486, 5.277511599997524]","[5.341013199998997, 4.428014400007669, 11.870459099998698, 4.66054750001058, 5.277519499999471]",1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
0.7,1000,exp,0,5,5,5,298.7817066,299.7808747,299.7808747,299.7808747,space,1.1556258,301.6624519,,301.9625917,301.9625917,301.9625917,350,6,"[5.341000700020231, 4.428008000017144, 11.87045049999142, 4.660540500015486, 5.277511599997524, 3.3787785000167787]","[5.341013199998997, 4.428014400007669, 11.870459099998698, 4.66054750001058, 5.277519499999471, 3.3787836999981664]",1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
0.7,1000,exp,0,6,6,8,305.3423235,306.3414708,306.3414708,306.3414708,space,2.5743576,309.638048,,309.9408115,309.9408115,309.9408115,300,7,"[5.341000700020231, 4.428008000017144, 11.87045049999142, 4.660540500015486, 5.277511599997524, 3.3787785000167787, 3.1774649000144564]","[5.341013199998997, 4.428014400007669, 11.870459099998698, 4.66054750001058, 5.277519499999471, 3.3787836999981664, 3.1774701999966055]",1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
0.7,400,unexp,0,7,7,2,313.1183419,314.1176194,314.1176194,314.1176194,space,0.524999,315.3662971,,315.6683778,315.6683778,315.6683778,500,8,"[5.341000700020231, 4.428008000017144, 11.87045049999142, 4.660540500015486, 5.277511599997524, 3.3787785000167787, 3.1774649000144564, 2.6615122000221163]","[5.341013199998997, 4.428014400007669, 11.870459099998698, 4.66054750001058, 5.277519499999471, 3.3787836999981664, 3.1774701999966055, 2.6615179000073113]",1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
0.1,1000,exp,0,8,8,3,318.3302712,319.3295672,319.3295672,319.3295672,space,1.2240396,320.678195,320.9790438,320.9790438,320.9790438,320.9790438,200,9,"[5.341000700020231, 4.428008000017144, 11.87045049999142, 4.660540500015486, 5.277511599997524, 3.3787785000167787, 3.1774649000144564, 2.6615122000221163, 3.4789932999992743]","[5.341013199998997, 4.428014400007669, 11.870459099998698, 4.66054750001058, 5.277519499999471, 3.3787836999981664, 3.1774701999966055, 2.6615179000073113, 3.4790009999996983]",1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
0.1,1000,exp,0,9,9,6,324.4579255,325.457328,325.457328,325.4737213,space,1.5189478,327.1053913,,327.4089999,327.4089999,327.4089999,200,10,"[5.341000700020231, 4.428008000017144, 11.87045049999142, 4.660540500015486, 5.277511599997524, 3.3787785000167787, 3.1774649000144564, 2.6615122000221163, 3.4789932999992743, 3.128056599991396]","[5.341013199998997, 4.428014400007669, 11.870459099998698, 4.66054750001058, 5.277519499999471, 3.3787836999981664, 3.1774701999966055, 2.6615179000073113, 3.4790009999996983, 3.128063199983444]",1,1,2022-11-04_11h59.36.200,T7,2022.2.2,60.02458608
