delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,polygon.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,sound_1.started,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,sound_1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.4,1000,exp,0,0,0,7,48.01655120000214,48.85241339999993,48.85241339999993,49.0186672000018,space,0.8608237000007648,50.15067240000062,50.566904300001625,50.566904300001625,50.566904300001625,300,1,[6.427616099997977],[6.4276270999980625],,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.4,1000,exp,0,1,1,10,56.89871200000198,57.877237100001366,57.877237100001366,57.91051160000279,space,0.9033669999989797,59.20851350000303,59.51096640000105,59.51096640000105,59.51096640000105,320,2,"[6.427616099997977, 5.259744499999215]","[6.4276270999980625, 5.2597519000009925]",,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.4,400,unexp,0,2,2,1,64.77079200000298,65.77008280000155,65.77008280000155,65.78657630000089,space,0.8013045999978203,67.00182780000031,67.30395270000008,67.30395270000008,67.30395270000008,250,3,"[6.427616099997977, 5.259744499999215, 6.842537900000025]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972]",,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.1,1000,exp,0,3,3,3,74.14532500000132,75.14463950000209,75.14463950000209,75.1612481000011,space,0.517115399998147,75.79369840000217,76.09346690000166,76.09346690000166,76.09346690000166,200,4,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945]",76.09346690000166,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.7,1000,exp,0,4,4,8,80.75618310000209,81.75512610000078,81.75512610000078,81.77166990000114,space,0.5042810999984795,82.98710870000068,83.28849390000323,83.28849390000323,83.28849390000323,400,5,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315, 5.6589205999989645]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945, 5.658928500000911]",,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.1,400,unexp,0,5,5,0,88.94837170000028,89.9475506000017,89.9475506000017,89.96414320000258,space,1.161183299998811,91.22929220000296,91.53173720000268,91.53173720000268,91.53173720000268,150,6,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315, 5.6589205999989645, 6.025882499998261]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945, 5.658928500000911, 6.025888500000292]",91.53173720000268,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.7,1000,exp,0,6,6,11,97.55709050000223,98.55625560000044,98.55625560000044,98.57282240000131,space,0.43108740000025136,99.70475420000147,100.00593980000122,100.00593980000122,100.00593980000122,500,7,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315, 5.6589205999989645, 6.025882499998261, 3.0784753000007186]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945, 5.658928500000911, 6.025888500000292, 3.078479400002834]",,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.1,1000,exp,0,7,7,9,103.08520620000127,104.08440750000227,104.08440750000227,104.10097890000179,space,1.7396898999977566,105.98227180000103,106.28564110000298,106.28564110000298,106.28564110000298,350,8,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315, 5.6589205999989645, 6.025882499998261, 3.0784753000007186, 8.1087374000017]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945, 5.658928500000911, 6.025888500000292, 3.078479400002834, 8.108745800000179]",,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.1,1000,exp,0,8,8,6,114.39115250000032,115.3906995000034,115.3906995000034,115.3906995000034,space,0.4114262000002782,115.92317340000372,116.22565140000006,116.22565140000006,116.22565140000006,300,9,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315, 5.6589205999989645, 6.025882499998261, 3.0784753000007186, 8.1087374000017, 4.3941554999983055]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945, 5.658928500000911, 6.025888500000292, 3.078479400002834, 8.108745800000179, 4.394162599997799]",,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
0.7,1000,exp,0,9,9,5,120.61914750000142,121.61824640000123,121.61824640000123,121.63479670000015,space,1.6033735999990313,123.94907190000012,124.25327660000039,124.25327660000039,124.25327660000039,350,10,"[6.427616099997977, 5.259744499999215, 6.842537900000025, 4.6631648000002315, 5.6589205999989645, 6.025882499998261, 3.0784753000007186, 8.1087374000017, 4.3941554999983055, 3.728157099998498]","[6.4276270999980625, 5.2597519000009925, 6.842545800001972, 4.6631778000009945, 5.658928500000911, 6.025888500000292, 3.078479400002834, 8.108745800000179, 4.394162599997799, 3.7281657999992603]",,1,001,2022-11-10_21h54.18.502,T7,2022.2.2,60.12531317823952,
